Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
20150,21190,buuru=si
29090,30340,buuru=si
42645,44455,durai<=to=ga iu=sa are=wa>
47510,51720,ba-nta <isigaki-si>=nu <hoogen>-durai=nki
53905,55305,atsumari=ba durai
62125,62835,suta=ba
64460,65690,buuru=nki
73605,74815,su=ja
75950,79420,(ni?)=nu durai=nki wasi turasi ata=ba
79905,82395,maasiku wasi turasi ata=ba
84150,86540,araagu hugarassa=ndi=du umun<=dakara>
86815,87945,su=ja
95086,98946,ba-nta durai=nki atsumai turasi ata=ba
99306,101646,araagu hugarassa=ndi=du umui buru=do
106075,107835,atsumai turasi ata=ba
111957,114575,araagu hugarassa=ndi=du umui buru<=to=ka>
136230,137370,taa=n
138810,140030,kunutan=djan
143840,144610,kunuta
145565,147825,taa=n taa=n kunutan
150265,152125,xxx
154575,156705,taa=n <dare=mo konakatta>
169130,175780,taa ta=nga ta=ba ata=kaja ma umi umi uma=nki suru=nni=du bun=suja
184290,185790,suru nni=du bun=suja
189870,191470,suru nni=du bun=suja
193310,198240,xxx
213725,215335,ta=nga uma=nki
216390,218730,uma=nki suru nni=du bun=suja
222951,226941,unu sikama=ja ta=nga=n irarirun=do
228890,231124,ta=nga=n irarirun=do
231301,233304,xxx
241946,244129,nmi=n nmi=n
246010,247998,uni=nu ttu=ja bun=do
249916,251117,uni=nu ttu=ja
252503,253689,bun=do
262134,263828,nma=nki=ba hiru=nga
273133,275107,nma=nki=n hi buranun=do
276908,278172,nma=nki=n
279543,281006,hi buranun=do
300255,304584,<hatuma-zima>=ni mingui nnita=nga 
305608,307503,mingui nnita=nga
311670,313580,mingui nnita=nga
315136,316754,ta=n buranutan
319380,320906,xxx
323193,324672,nnita=nga
325257,327675,xxx
332212,333522,nmi=n
335655,337304,ta=n buranutan
344808,347072,<soo soo> mingui<=to itta mawaru>
365783,370858,nmi aruban unu ttu=nki tubataru nni=du bu=nga
376515,377778,xxx
381090,382584,xxx
383917,385550,unu ttu=nki
388481,391008,tubataru=ndi=du umariru=nga
393072,395552,tubataru=ndi=du umariru=nga
397670,398626,umariru
401029,402200,umariru
416465,418576,unu maci=nu
420601,422527,<sjoku-doo>=ja
439527,444426,unu maci=nu <sjoku-doo>=ja nma=n man=do
445904,447260,man=do
449771,453022,xxx
467818,469082,buuru han=do
478571,480453,ttu=n haiminun=do<=to=ga iu>
484950,486568,ttu=n haiminun=do
510578,512904,su nu=n kiranu=bi
514529,515469,kiranu=bi
565314,567086,ataranu munu
567848,569358,ataranu munu
572377,573887,ataranu munu
579101,581412,ataranu munu
583229,584970,ataranu munu
600598,605590,su nu=n kiranu=bi <zikan> ataranu munu
613093,615095,su nu=n kiranu=bi
616497,620811,su nu=n kiranu=bi <zikan> ataranun
672042,673537,dikan<=to=mo>
675007,676394,tuuti
680100,681856,tuuti<=tte iu=n=da=ne>
686068,687084,dikan
697375,699748,dikan<=to iu=no=wa saikin=no>
702212,703614,tuuti
705686,707797,tuuti ataranu
712940,714670,tuuti=n ataranu
720535,722255,tuutin ataranu
725755,726915,tuuti
746195,748075,tubataru=ndi umariru
750565,751935,nmi aruban
752210,754700,unu ttu=nki tubataru=ndi umariru
765025,766445,nmi aruban
783540,784790,xxx
785245,787435,nu=n aru=ban mikita=nga
791580,793550,xxx
795075,796275,mikita=nga
797975,800575,nda=nga miki buru munu=kaja=je
808665,810825,nda=nga miki butaru munu=kaja
829075,831315,kanu ttu=ja nu=n hai tsun=do
833005,834385,hai tsun=do
836645,838465,kanu ttu=ja nu=n hai tsun=do
851025,852645,nun=di nda=ja icin
856375,857445,nindi cira
860806,862206,ninta ki bun=suja
869426,871976,nu=ndi nda=ja ici=n ninta ki bu=nga
894551,896091,ninta ki bun=suja
897301,899211,xxx
900576,901796,nindi cira
908501,910651,nindi cira ki bun=suja
922236,927846,unu ttu=ja ttumuti=nu i ttun hanun
930306,931676,unu ttu=ja
934871,938921,unu ttu=ja ttumuti=nu i=nu ttun hanun
946626,947666,ttun hanun
949236,950326,ttun hanun
965381,967581,<soo> ttun haiminun=do
977771,978671,ttu=ja
980741,983061,ici aru=ban nni=du kiru
984731,986071,nni=du kiru
986991,987911,nni
988591,989361,nni
990616,991536,nni=du kiru
996346,997196,nnun
1008021,1008961,nnun
1013671,1016031,unu ttu=ja nnun=do
1019401,1020911,mai=ni nnun=do
1033876,1035406,unu ttu=ja nnun=do
1039361,1040351,nnun=do
1049686,1052356,ici=n hima=du aru=nggara
1054791,1057331,anbi=ndi si turai
1069661,1071211,nugu siti=n
1106096,1107076,nugu si=ti=n
1115086,1116166,nugu siti=n
1154276,1155886,nugu si=ti=n
1265311,1266411,cima-ninun
1267181,1268261,cimun
1273111,1273851,cimun
1274871,1276251,cima-ninun
1278301,1279471,cima-ninun
1285366,1286996,<owaru=ga> cimun<=da=jo>
1297361,1299491,tudima-ninun tudima-ninun
1300796,1302076,tudima-minun
1303686,1304766,cima-ninun
1310156,1313376,nugu si=ti=n <benkjoo>=nga cima-minun
1316506,1317866,tudima-minun
1327676,1328636,ha-minun
1331356,1332906,ha-minu=nga
1333131,1335791,<dakke> ha-minun ma hamiranu ma <atta>
1341041,1341671,hanun
1343896,1345566,xxx
1347241,1349501,xxx
1349681,1352101,xxx
1356001,1358091,hamiru=nga nda hu=na
1362956,1364396,xxx
1369856,1370656,xxx
1376096,1377386,xxx
1385981,1388151,xxx
1391506,1393546,xxx
1413271,1415011,nu=kaja bagaru=nga
1415411,1419301,unu <ie>=nga ihuna=du an=suja
1423346,1425396,nu=(ka...e) bagaranu=nga
1433901,1435421,xxx